Array size (n),Average runtime (ms) for 10 trials,Average runtime (ms) for 100 trials,Average runtime (ms) for 1000 trials,Average runtime (ms) for 10000 trials
"10,000",2,0.55,0.537,0.3454
"9,500",1.4,0.53,0.451,0.3636
"9,000",1.3,0.48,0.364,0.3099
"8,500",1.20,0.45,0.302,0.2559
"8,000",0.90,0.45,0.311,0.2419
"7,500",1.10,0.33,0.242,0.2102
"7,000",0.90,0.33,0.204,0.2268
"6,500",0.8,0.33,0.215,0.1787
"6,000",0.8,0.3,0.183,0.1596
"5,500",0.8,0.36,0.188,0.1459
"5,000",0.7,0.26,0.156,0.1281
"4,500",0.6,0.19,0.129,0.1194
"4,000",0.6,0.2,0.096,0.0917
"3,500",0.3,0.24,0.105,0.0836
"3,000",0.4,0.14,0.075,0.0661
"2,500",0.2,0.13,0.073,0.0555
"2,000",0.2,0.14,0.055,0.0391
"1,500",0.4,0.11,0.048,0.033
"1,000",0.2,0.13,0.034,0.0151
500,0.1,0.06,0.013,0.0064
100,0,0.06,0.013,0.0024